name,label,description
01,新規,新たに法人番号が公表されたことを表す情報であることを意味する。
11,商号又は名称の変更,商号又は名称が変更されたことを表す情報であることを意味する。
12,国内所在地の変更,国内における本店又は主たる事務所の所在地の変更、国内に本店又は主たる事務所がない法人等の場合は、国内における事務所又は営業所の所在地の変更又は、市区町村合併等により住居表示が変更されたことを表す情報であることを意味する。
13 国外所在地の変更,国外における本店又は主たる事務所の所在地が変更されたことを表す情報であることを意味する。
21,登記記録の閉鎖等,清算の結了、合併による解散などの事由により登記記録の閉鎖等の事由が生じたことを表す情報であることを意味する。
22,登記記録の復活等,法人等が清算の結了、合併による解散などの事由により登記記録の閉鎖等が生じた後、清算結了等の手続きに瑕疵があり、清算結了が無効になるなどの事由により登記記録が復活等したことを表す情報であることを意味する。
71,吸収合併,設立登記法人が、吸収合併を行ったことを表す情報であることを意味する。
72,吸収合併無効,吸収合併後存続した設立登記法人の吸収合併について無効判決が確定したことを表す情報であることを意味する。
81,商号の登記の抹消,設立登記法人について商号の登記が抹消されたことを表す情報であることを意味する。
99,削除,法人番号の重複指定等の理由により法人番号の指定を撤回したことを表す情報であることを意味する。
