sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
7,1010001148968,登記記録の閉鎖等,0,2022-04-01,2022-03-28,株式会社晨成商会,,株式会社,東京都,文京区,白山２丁目２１番７号,,13,105,1120001,,,2022-03-28,合併による解散等,2010001003123,令和４年３月２８日東京都文京区白山二丁目２１番７号株式会社三省堂ブックポート（2010001003123）に合併し解散,2015-10-05,1,,,,,シンセイショウカイ,0
9,1010005027648,登記記録の閉鎖等,0,2022-04-01,2022-03-28,薬研坂特定目的会社,,その他の設立登記法人,東京都,千代田区,平河町１丁目６番１５号シルスフィア会計事務所内,,13,101,1020093,,,2022-03-28,清算の結了等,,,2017-10-26,1,,,,,ヤゲンザカ,0
24,1010901029524,登記記録の閉鎖等,0,2022-04-01,2022-03-30,株式会社アルファー,,株式会社,東京都,世田谷区,若林２丁目１５番地９号,,13,112,1540023,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,アルファー,0
36,1011002015298,登記記録の閉鎖等,0,2022-04-01,2022-03-23,有限会社丸栄工務店,,有限会社,東京都,渋谷区,恵比寿３丁目１０番８号,,13,113,1500013,,,2022-03-23,清算の結了等,,,2015-10-05,1,,,,,マルエイコウムテン,0
42,1011301012005,登記記録の閉鎖等,0,2022-04-01,2022-03-30,株式会社ツースリー商会,,株式会社,東京都,杉並区,高円寺南３丁目３０番１９号,,13,115,1660003,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,ツースリーショウカイ,0
50,1012401031142,登記記録の閉鎖等,0,2022-04-01,2022-03-30,株式会社一戸工務店,,株式会社,東京都,府中市,押立町５丁目１４番地の６川重コーポ２０１号,,13,206,1830012,,,2022-03-30,清算の結了等,,,2016-03-10,1,,,,,イチノヘコウムテン,0
54,1020001033046,登記記録の閉鎖等,0,2022-04-01,2022-03-29,株式会社アローズ,,株式会社,神奈川県,横浜市西区,北幸２丁目１５番１４号,,14,103,2200004,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,アローズ,0
59,1020002066697,登記記録の閉鎖等,0,2022-04-01,2022-03-30,有限会社小澤建設,,有限会社,神奈川県,横浜市戸塚区,下倉田町７９９番地,,14,110,2440815,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,オザワケンセツ,0
65,1030001141698,登記記録の閉鎖等,0,2022-04-01,2022-03-04,株式会社７Ａ．ＪＡＰＡＮ,,株式会社,栃木県,小山市,大字羽川８１２－１４プランドールコット２０１,,09,208,3230012,,,2022-03-04,清算の結了等,,,2021-04-13,1,,,,,セブンエージャパン,0
71,1030002067208,登記記録の閉鎖等,0,2022-04-01,2022-03-29,有限会社島田加工所,,有限会社,埼玉県,志木市,上宗岡３丁目１１番４１号,,11,228,3530001,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,シマダカコウショ,0
79,1040001050403,登記記録の閉鎖等,0,2022-04-01,2022-03-28,株式会社エス・エム・シー,,株式会社,千葉県,木更津市,真里６８７番地１,,12,206,2920212,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,エスエムシー,0
85,1040005013331,登記記録の閉鎖等,0,2022-04-01,2022-03-28,協同組合佐原信販,,その他の設立登記法人,千葉県,香取市,佐原イ５２５番地,,12,236,2870003,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,サワラシンパン,0
96,1080002002358,登記記録の閉鎖等,0,2022-04-01,2022-03-31,有限会社佐野電算センター,,有限会社,静岡県,静岡市駿河区,石田２丁目１６番１号,,22,102,4228042,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,サノデンサンセンター,0
97,1080002017793,登記記録の閉鎖等,0,2022-04-01,2022-03-30,有限会社徳谷薬局,,有限会社,静岡県,藤枝市,藤枝３丁目１番２６号,,22,214,4260025,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,トクタニヤッキョク,0
101,1080402003963,登記記録の閉鎖等,0,2022-04-01,2022-03-31,有限会社スカイ・ハイ,,有限会社,静岡県,浜松市中区,龍禅寺町８６２番地の３,,22,131,4300924,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,スカイハイ,0
105,1100005008894,登記記録の閉鎖等,0,2022-04-01,2022-03-30,与地生産森林組合,,その他の設立登記法人,長野県,伊那市,西箕輪６０９９番地３,,20,209,3994501,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,ヨチ,0
119,1120002038059,登記記録の閉鎖等,0,2022-04-01,2022-03-29,有限会社髭野,,有限会社,大阪府,大阪市中央区,瓦屋町３丁目１番２号,,27,128,5420066,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,ヒゲノ,0
152,1150001013290,登記記録の閉鎖等,0,2022-04-01,2022-03-31,株式会社浜野下工務店,,株式会社,奈良県,北葛城郡広陵町,馬見南１丁目６番４号,,29,426,6350833,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,ハマノシタコウムテン,0
