sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
6,1010001268444,新規,0,2026-09-02,2026-09-02,株式会社ベルソンワークス,,株式会社,東京都,中央区,新川１丁目１６番４号,,13,102,1040033,,,,,,,2026-09-02,1,,,,,ベルソンワークス,0
8,1010003052499,新規,0,2026-09-02,2026-09-02,合同会社ＳＵＤＯＸ,,合同会社,東京都,中央区,日本橋２丁目１－３アーバンネット日本橋二丁目ビル１０階,,13,102,1030027,,,,,,,2026-09-02,1,,,,,スドックス,0
9,1010003052516,新規,0,2026-09-02,2026-09-02,合同会社ＡＩＶＩＳＴＡ,,合同会社,東京都,中央区,日本橋３丁目２－１４日本橋ＫＮビル４Ｆ,,13,102,1030027,,,,,,,2026-09-02,1,,,,,エーアイヴィスタ,0
10,1010003052524,新規,0,2026-09-02,2026-09-02,合同会社ＬＩＵＦＬＯＷ,,合同会社,東京都,中央区,銀座７丁目１３番２０号銀座ＴＨビル９階,,13,102,1040061,,,,,,,2026-09-02,1,,,,,リューフロー,0
11,1010003052549,新規,0,2026-09-02,2026-09-02,合同会社ウェストセブン,,合同会社,東京都,千代田区,隼町２番１６－３０１号,,13,101,1020092,,,,,,,2026-09-02,1,,,,,ウェストセブン,0
47,1011001179978,新規,0,2026-09-02,2026-09-02,株式会社振付稼業ａｉｒ　ｍａｎ,,株式会社,東京都,目黒区,東山３丁目５番１２号コーポ東山４Ｆ,,13,110,1530043,,,,,,,2026-09-02,1,,,,,フリツケカギョウエアマン,0
48,1011001179994,新規,0,2026-09-02,2026-09-02,Ｏｐｕｓ株式会社,,株式会社,東京都,渋谷区,神南１丁目１１番４号ＦＰＧリンクス神南５階,,13,113,1500041,,,,,,,2026-09-02,1,,,,,オーパス,0
49,1011001180003,新規,0,2026-09-02,2026-09-02,株式会社ＨＡＡＴ,,株式会社,東京都,渋谷区,神宮前３丁目２７－１５－３Ｇ,,13,113,1500001,,,,,,,2026-09-02,1,,,,,ハアト,0
50,1011001180085,新規,0,2026-09-02,2026-09-02,株式会社ＯｒｉｇｉｎＤｏｔ,,株式会社,東京都,渋谷区,恵比寿１丁目８番１８号Ｋ－１ビル３Ｆ,,13,113,1500013,,,,,,,2026-09-02,1,,,,,オリジンドット,0
51,1011003025189,新規,0,2026-09-02,2026-09-02,オルク合同会社,,合同会社,東京都,渋谷区,神南１丁目１１－４ＦＰＧリンクス神南５階,,13,113,1500041,,,,,,,2026-09-02,1,,,,,オルク,0
54,1011103017961,新規,0,2026-09-02,2026-09-02,合同会社ネクスト,,合同会社,東京都,新宿区,新宿６丁目２－１６－４０７,,13,104,1600022,,,,,,,2026-09-02,1,,,,,ネクスト,0
