date,ndiff,ncreated,nterminated,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
2021-07-14,2772,523,188,14,0,2,4,2,2,3,4,9,8,37,10,183,16,2,0,0,6,5,3,4,12,25,13,2,1,71,14,0,0,2,0,3,8,3,1,2,3,2,14,0,0,4,6,7,5,11,8,1,2,3,4,1,5,1,3,2,3,8,40,10,6,3,1,4,0,2,6,7,8,1,3,2,14,4,0,0,1,0,3,5,0,1,1,0,0,11,2,0,3,6,0,0,3
2021-07-15,2511,456,175,7,4,1,4,1,0,5,9,4,4,11,5,152,45,0,3,2,1,1,3,2,8,16,3,7,19,63,14,4,1,2,1,5,5,4,0,1,2,1,8,2,3,5,7,2,2,7,10,0,2,1,1,0,3,5,2,5,8,3,34,14,5,2,0,1,0,3,2,4,11,0,1,4,14,6,1,4,2,0,1,2,3,0,1,2,1,6,1,3,1,0,1,3,2
2021-07-16,2743,469,211,17,2,2,6,0,3,3,11,0,7,16,31,102,49,1,4,8,1,3,4,7,8,28,3,2,7,57,12,3,5,1,0,5,7,2,5,2,3,2,20,1,3,3,2,3,2,6,10,1,2,4,1,0,3,5,3,2,9,11,45,9,6,1,2,4,0,2,1,11,7,4,2,4,13,10,1,0,0,1,4,2,1,1,1,3,3,8,3,3,3,1,2,1,1
2021-07-19,2998,551,217,5,2,1,3,0,1,0,1,2,7,19,27,169,30,0,1,2,0,3,18,5,12,28,3,5,5,57,28,3,7,0,1,6,3,0,3,3,2,4,51,3,1,7,3,1,10,9,6,2,0,2,1,0,6,2,6,0,19,11,43,12,4,1,1,2,0,0,5,8,6,4,5,4,19,16,0,1,1,0,2,3,1,0,1,3,0,3,0,2,5,2,3,3,2
2021-07-20,2844,555,203,17,2,5,10,6,2,9,9,0,6,45,21,180,12,1,1,5,3,4,5,9,9,17,10,3,3,52,20,3,2,2,2,4,16,7,1,1,2,0,27,0,1,8,1,2,3,7,5,0,2,3,0,1,1,6,2,3,12,8,34,18,4,0,1,5,0,3,4,4,21,4,0,6,19,6,2,0,0,1,2,3,0,0,2,0,1,8,1,2,6,0,1,1,1
2021-07-21,2742,498,186,26,3,1,9,1,0,2,7,3,2,21,22,155,43,5,3,3,0,0,3,2,5,15,3,7,3,52,15,0,0,0,0,3,5,2,2,0,2,1,31,7,2,5,1,2,3,21,8,5,2,0,2,2,5,5,1,3,6,11,48,6,1,4,3,1,0,6,4,4,8,3,1,2,8,6,2,0,0,1,2,5,3,1,0,1,1,4,1,3,1,3,0,1,2
2021-07-26,2626,461,207,8,3,1,3,1,1,2,2,1,3,11,13,123,59,0,3,6,0,3,4,5,12,43,0,3,3,45,21,7,7,0,0,9,8,0,4,0,3,2,12,0,4,8,0,3,9,6,3,1,4,3,0,0,4,5,0,3,14,5,41,21,8,2,1,0,0,4,1,5,8,3,8,4,19,6,3,3,0,0,3,2,0,1,2,0,0,6,0,6,2,2,1,2,1
2021-07-27,2757,598,172,24,4,1,6,4,2,0,6,5,7,15,30,157,13,9,0,1,1,7,7,7,12,21,11,9,36,83,13,8,5,0,1,5,5,6,0,6,7,2,21,1,0,6,8,5,6,14,9,4,5,3,1,1,4,1,2,1,4,1,35,15,9,0,1,0,0,2,2,6,15,1,2,5,12,4,1,1,2,2,5,2,2,1,1,2,0,3,0,0,3,1,0,0,1
2021-07-28,2926,679,219,38,0,5,7,0,1,10,9,5,6,40,33,190,38,2,1,3,0,7,7,7,17,22,6,13,20,102,20,2,0,4,2,1,11,0,4,5,2,1,15,2,2,8,2,6,2,1,7,0,3,0,1,4,5,3,5,3,4,4,47,11,4,0,1,2,0,11,5,4,27,3,1,4,17,6,2,1,2,0,5,0,3,1,1,2,0,9,0,1,6,0,1,3,0
2021-07-29,2719,656,179,11,2,5,7,1,1,4,11,11,4,19,30,230,56,3,0,10,0,1,3,3,8,26,5,8,17,59,40,4,1,3,2,4,8,8,3,3,1,4,13,0,4,2,4,3,1,11,7,5,3,2,1,2,5,4,1,3,3,6,52,10,0,0,2,1,0,2,4,7,14,5,1,0,7,7,2,1,0,4,4,2,1,0,0,1,0,2,1,2,3,0,0,1,1
2021-07-30,2725,492,218,9,0,2,8,1,1,3,11,2,1,28,18,131,13,3,1,1,2,2,1,6,4,55,0,1,7,56,26,5,3,3,1,2,6,1,1,1,1,2,30,1,3,4,4,5,5,19,7,2,1,1,3,1,4,4,2,0,5,6,48,14,5,1,5,2,3,1,3,3,25,2,0,4,11,5,1,3,0,2,1,5,6,1,5,1,1,5,2,2,5,1,0,8,1
2021-08-02,2785,504,251,6,0,1,16,0,0,4,5,1,4,28,23,175,41,3,2,2,2,1,3,7,2,27,3,2,5,37,30,7,3,2,0,5,5,0,1,2,0,1,19,4,1,9,1,4,3,7,11,0,4,3,1,6,3,8,4,2,7,13,51,16,4,5,3,0,0,7,7,7,18,0,0,12,21,11,3,0,0,1,0,4,0,0,1,2,0,4,1,1,2,3,0,2,3
2021-08-03,2944,582,204,19,6,4,3,1,5,0,3,2,7,8,14,151,49,7,1,6,3,8,12,12,37,48,8,5,0,43,13,5,6,4,1,16,8,1,4,4,9,6,6,1,4,14,2,8,2,6,8,3,1,5,3,4,4,7,3,1,10,6,38,12,4,3,1,5,0,3,4,4,7,4,1,3,12,7,3,0,1,0,6,5,0,4,0,3,1,5,0,4,3,4,0,1,1
2021-08-04,3086,893,231,21,3,15,14,3,1,7,23,17,13,30,41,198,35,10,5,4,5,4,10,15,26,67,23,8,35,48,14,1,9,0,5,33,35,2,3,12,16,3,19,2,3,23,11,9,8,4,11,4,2,2,0,4,1,4,3,4,9,8,39,21,5,1,0,1,2,1,4,7,27,2,1,1,16,7,2,1,2,3,5,6,3,0,5,4,2,4,1,2,1,0,1,1,1
2021-08-05,2894,902,205,18,1,2,25,1,7,10,21,7,6,30,31,239,44,8,3,3,6,6,19,14,16,55,11,7,23,89,46,2,3,2,0,13,22,18,7,3,5,3,12,0,7,8,5,10,13,21,9,0,3,1,0,1,0,9,2,4,12,3,48,13,9,4,2,1,2,0,2,4,11,3,2,3,10,4,1,0,0,3,3,4,3,1,0,2,2,8,1,5,1,3,4,2,0
2021-08-06,3056,854,213,16,5,2,9,7,0,12,8,14,5,64,21,215,88,9,2,5,2,1,5,10,16,45,4,5,7,97,54,5,1,6,2,7,14,4,7,4,3,2,26,1,7,9,7,3,11,7,5,0,1,1,0,2,4,3,4,0,17,8,40,10,3,2,0,3,1,5,10,9,19,3,3,9,23,9,0,0,0,0,1,1,1,3,1,0,0,1,1,2,0,1,3,3,1
2021-08-10,2958,616,243,15,3,1,6,1,2,5,7,2,0,30,68,182,36,1,2,11,2,5,2,10,12,29,4,5,16,43,25,7,1,1,0,3,15,3,2,0,3,0,34,2,3,2,5,2,7,1,3,1,1,6,3,5,2,1,0,2,8,5,53,26,5,3,5,1,4,1,4,10,24,5,1,4,15,3,1,0,1,1,3,10,3,0,0,4,1,4,0,2,6,2,3,0,1
2021-08-11,2759,602,210,14,8,2,12,0,2,0,7,1,7,38,22,200,12,6,8,5,2,1,8,4,5,23,1,2,15,59,17,6,1,1,2,7,13,2,2,1,2,2,60,2,1,3,2,1,1,12,12,0,2,2,0,2,2,1,0,2,13,5,47,19,2,0,0,0,1,7,1,8,12,1,2,8,9,11,2,0,0,1,6,6,3,1,1,2,2,7,0,3,4,1,0,0,2
2021-08-12,2659,491,248,17,1,4,6,1,3,6,10,4,2,14,15,163,50,2,4,5,1,0,3,2,3,15,0,3,4,57,10,4,3,0,0,2,4,4,1,2,1,2,15,11,1,2,3,2,5,24,11,2,0,5,3,3,3,4,3,4,9,11,45,24,9,3,3,1,1,2,2,7,18,4,2,1,21,4,0,1,1,2,3,2,1,3,2,6,1,3,1,3,2,1,4,3,4
2021-08-13,2640,489,234,46,0,1,6,0,2,2,2,0,2,21,36,160,19,3,1,3,1,1,4,6,10,23,2,1,1,46,13,5,6,2,0,7,6,0,3,0,2,2,30,2,0,0,0,0,3,3,5,3,4,4,1,1,7,5,4,3,11,8,54,13,6,2,4,1,0,1,1,9,12,0,0,6,12,8,6,0,1,0,1,2,2,0,2,2,2,6,4,2,9,1,2,5,2
2021-08-16,2461,496,230,35,5,1,13,3,1,1,1,5,2,33,2,142,24,2,2,3,4,2,1,8,9,21,8,3,15,41,3,0,0,3,0,2,7,6,1,6,0,1,42,0,2,7,5,5,7,12,9,4,2,6,0,0,2,3,3,0,8,6,53,21,9,1,3,3,0,1,3,9,12,4,0,2,18,4,4,1,0,3,0,3,3,1,3,2,1,7,0,0,2,2,2,7,3
2021-08-17,2328,432,189,17,1,1,0,2,0,3,13,6,5,23,9,124,37,2,2,1,3,1,4,3,6,25,4,1,8,36,33,6,0,1,1,1,11,0,1,0,0,0,20,1,4,1,2,4,3,6,9,2,2,5,0,0,1,4,5,5,2,10,46,12,2,2,5,1,1,2,4,4,13,1,0,2,11,10,1,2,1,1,0,4,1,2,0,1,0,5,0,0,2,2,3,3,0
2021-08-18,2272,389,177,3,3,0,2,0,0,3,3,3,11,19,34,136,28,4,0,0,0,2,2,4,1,17,1,1,3,48,17,1,1,0,0,3,3,0,1,2,3,0,4,0,8,2,1,1,2,12,7,3,0,8,3,0,6,3,1,2,10,6,41,13,1,5,5,1,1,0,1,3,7,1,1,4,15,5,0,1,1,0,2,3,1,1,1,2,0,3,0,0,3,1,1,3,1
2021-08-19,2262,445,196,23,1,0,5,1,0,4,6,8,0,9,38,150,24,2,3,6,2,3,6,8,10,23,1,1,5,31,12,3,2,2,1,5,3,1,1,1,1,0,11,0,3,3,2,2,5,8,6,1,2,2,2,9,7,0,4,2,13,6,52,20,1,1,0,1,1,4,1,1,7,1,0,6,11,12,1,2,1,1,0,1,1,0,1,4,0,5,0,0,1,1,0,4,0
2021-08-20,2312,400,192,8,1,4,3,0,0,1,4,1,7,15,13,130,26,5,1,1,3,2,3,1,11,8,7,3,2,44,27,2,1,0,1,3,6,0,0,2,6,0,15,2,5,13,1,1,0,11,9,2,1,1,0,3,3,6,6,0,12,9,46,15,3,3,0,0,1,6,7,3,8,0,0,2,14,3,0,1,2,1,1,4,0,1,0,2,0,5,1,4,1,1,1,3,1
2021-08-23,2508,492,205,11,0,2,2,3,1,6,6,9,4,33,11,152,36,7,0,1,2,3,3,0,7,16,3,1,15,46,13,5,3,1,2,4,14,4,0,0,3,2,35,1,3,10,2,0,5,5,4,0,0,4,2,0,2,2,4,6,9,7,55,9,4,3,4,0,0,1,1,8,14,3,2,2,13,5,2,0,0,1,2,12,1,0,3,1,1,10,1,1,2,1,1,2,0
2021-08-24,2404,461,235,10,2,1,5,4,5,2,9,3,3,17,6,146,29,1,3,3,1,4,4,6,3,40,4,5,9,39,15,4,1,2,1,5,3,3,1,7,3,0,24,0,4,5,3,2,2,12,7,0,2,4,4,1,6,5,1,4,9,10,41,11,3,2,4,0,0,3,2,6,15,1,1,5,16,8,1,2,0,1,4,3,2,1,0,1,1,4,0,0,3,1,0,1,2
2021-08-25,2191,465,196,21,3,2,6,0,0,1,10,7,2,20,11,136,42,2,1,6,0,0,7,1,4,25,2,5,13,33,6,6,2,1,0,3,11,1,2,3,2,1,40,1,0,5,5,1,6,9,6,1,1,3,4,1,0,0,8,2,2,7,56,20,0,2,0,0,1,5,6,3,14,0,1,3,13,5,1,2,0,1,1,3,1,0,2,0,1,5,0,3,6,0,0,6,0
2021-08-26,2382,474,176,20,2,1,4,2,2,9,7,3,2,17,26,159,22,9,0,6,0,0,1,3,6,13,5,5,6,36,18,6,0,1,1,6,3,2,1,8,5,4,29,3,3,1,2,1,2,12,5,0,1,2,0,2,5,2,4,5,13,13,35,17,4,1,6,2,0,4,2,6,5,2,0,4,2,1,1,0,0,2,4,7,0,0,3,2,1,8,0,1,0,1,0,1,2
