date_of_order,title,amount,government_departments,joint_signatures,corporate_number
2019-05-01T00:00:00+09:00,経済産業研修所の管理・運営業務,252201600,経済産業省,,1010001139967
2019-02-06T00:00:00+09:00,平成３０年度サイバーセキュリティ経済基盤構築事業（ソフトウェアの利活用に関わるセキュリティ確保に向けた課題に関する調査）,10170360,経済産業省,,1010001143390
2018-12-28T00:00:00+09:00,平成３０年度製造基盤技術実態等調査（諸外国でのロボットに関わる企業活動及び研究開発の動向に関する追加的実態調査）,10260000,経済産業省,,1010001143390
2020-01-14T00:00:00+09:00,戦略的イノベーション創造プログラム（ＳＩＰ）第２期／フィジカル空間デジタルデータ処理基盤エッジ領域のＩｏＴ技術活用にかかるニーズ最新動向調査,19886900,国立研究開発法人新エネルギー・産業技術総合開発機構,,1010001143390
2019-10-24T00:00:00+09:00,令和元年度産業標準化推進事業委託費（戦略的国際標準化加速事業：国際ルールインテリジェンスに関する調査（サプライチェーン全体のサイバーセキュリティ強化に求められる取組のルール・国際標準化戦略に関する調査研究））,9900000,経済産業省,,1010001146848
2019-11-12T00:00:00+09:00,新エネルギー技術研究開発着床式洋上ウインドファーム開発支援事業着床式洋上ウインドファーム開発支援事業（洋上風力発電に係る漁業影響調査手法検討）,4255900,国立研究開発法人新エネルギー・産業技術総合開発機構,,1010005004102
2019-09-06T00:00:00+09:00,令和元年度高度な自動走行システムの社会実装に向けた研究開発・実証事業（ＣＡＳＥ時代を見据えた国内外技術動向調査）,81015000,経済産業省,,1010401000530
2018-12-04T00:00:00+09:00,平成３０年度コンテンツ産業新展開強化事業（国内外のコンテンツ消費傾向等調査）,18792000,経済産業省,,1010401023102
2020-01-06T00:00:00+09:00,入退室管理システムサービス,437250,経済産業省,,1011001039389
2019-04-01T00:00:00+09:00,工業標準策定システム改修業務役務請負,57709300,経済産業省,,1020001028459
2019-12-03T00:00:00+09:00,バイオジェット燃料生産技術開発事業一貫製造プロセスに関するパイロットスケール試験バイオジェット燃料製造に最適なガス化・ＦＴ合成による一貫製造プロセス・サプライチェーン構築の事業性評価（ＦＳ）,10007800,国立研究開発法人新エネルギー・産業技術総合開発機構,,1021001029678
2019-12-06T00:00:00+09:00,バイオマスエネルギーの地域自立システム化実証事業地域自立システム化実証事業オンサイト型小型メタン発酵システムの普及のために高温可溶化処理と乳酸発酵の技術を活用したメタン発酵のガス収量の増加による事業性向上と陸上養殖を組み合わせた事業性評価（ＦＳ）,18301800,国立研究開発法人新エネルギー・産業技術総合開発機構,,1170001002622
2019-01-09T00:00:00+09:00,経済産業省基盤情報システムサービス（クライアント基盤サービスノート型ＰＣ追加）,17684546,経済産業省,"日本電気株式会社",2010001033475
2018-12-21T00:00:00+09:00,経産省基盤情報システムサービス（スマホ内線アプリバージョンアップ作業）,3930768,経済産業省,"日本電気株式会社",2010001033475
2019-04-01T00:00:00+09:00,業務用アプリケーション運用支援業務,9286800,経済産業省,,2010001084295
2019-12-24T00:00:00+09:00,中小規模製造業の製造分野におけるデジタルトランスフォーメーション（ＤＸ）事例調査,6600000,情報処理推進機構,,2010705002239
2019-12-12T00:00:00+09:00,２０１９年度（第２６回）未踏ＩＴ人材発掘・育成事業　成果報告会の会場等借上契約,2113430,情報処理推進機構,,2020001043507
2019-12-27T00:00:00+09:00,令和元年度内外一体の経済成長戦略構築にかかる国際経済調査事業（世界経済の不均衡の要因とその不均衡の是正に向けた課題と解決策の検討）,3194180,経済産業省,,3010003022302
2018-11-14T00:00:00+09:00,平成３０年度国内における温室効果ガス排出削減・吸収量認証制度の実施委託費（温室効果ガス排出削減のためのカーボンプライシング等の政策手法に関する調査）,35993189,経済産業省,,3010005018926
2018-12-07T00:00:00+09:00,平成３０年度新エネルギー等の導入促進のための基礎調査（デジタル技術を活用した新たなエネルギービジネスに関する調査）,8663224,資源エネルギー庁,,3010005018926
2018-12-14T00:00:00+09:00,平成３０年度エネルギー戦略立案のための調査・エネルギー教育等の推進事業（各国エネルギー戦略の定量分析・災害時におけるエネルギーインフラ事業の在り方整理）,5984815,資源エネルギー庁,,3010005018926
2018-04-02T00:00:00+09:00,民間人材サービスの活用検討事業（女性の復職促進）,16200000,厚生労働省,,3010401011971
2018-12-27T00:00:00+09:00,平成３０年度製造基盤技術実態等調査事業（海洋プラスチックごみ問題の解決に資する技術開発動向及び産業界への適用可能性調査）,5994000,経済産業省,,3010401011971
2019-12-26T00:00:00+09:00,高効率な資源循環システムを構築するためのリサイクル技術の研究開発事業資源循環を高度化する情報連携システム構築のための調査,19995800,国立研究開発法人新エネルギー・産業技術総合開発機構,,3010401011971
2019-10-04T00:00:00+09:00,令和元年度企業統計の今後の在り方に関する調査研究,12650000,経済産業省,,3010401011971
2019-04-01T00:00:00+09:00,一元的な文書管理システム運用支援等業務,18811220,経済産業省,,3010401097680
2019-11-06T00:00:00+09:00,令和元年度商取引・サービス環境の適正化に係る事業（我が国におけるサービスデザインの効果的な導入及び実践の在り方に関する調査研究）,18958500,経済産業省,,3011001064518
2019-10-03T00:00:00+09:00,高効率・高速処理を可能とするＡＩチップ・次世代コンピューティングの技術開発高効率・高速処理を可能とするＡＩチップ・次世代コンピューティングの技術開発に係るアイデア発掘のための課題調査,86779000,国立研究開発法人新エネルギー・産業技術総合開発機構,,3012401013733
2019-04-01T00:00:00+09:00,「第１５回日中韓ＦＴＡ交渉局長／局次長・首席代表会合」開催業務,4492051,経済産業省／外務省／財務省／農林水産省,,3013201010326
2019-09-03T00:00:00+09:00,令和元年度中国及びインドにおける大気環境規制等動向把握及び諸外国の水銀排出抑制対策に係る技術動向等把握業務,19580000,経済産業省,,4010001054032
2019-12-26T00:00:00+09:00,令和元年度戦略的基盤技術高度化・連携支援事業（新規事業創出の促進に向けた大企業人材の流動化に係る調査）,14630000,経済産業省,,4010001054032
2020-01-31T00:00:00+09:00,経済産業省基盤情報システムのセキュリティ診断業務役務請負,1249600,経済産業省,,4010001095076
2019-04-01T00:00:00+09:00,平成３１年度経済産業省英語版ウェブサイト掲載用資料の和文英訳,4288,経済産業省,,4010401004009
2019-04-01T00:00:00+09:00,ＭＥＴＩ　Ｊｏｕｒｎａｌの記事の英訳・編集及び発信業務,32438400,経済産業省,,4010401014420
2019-02-04T00:00:00+09:00,平成３０年度経済産業省デジタルプラットフォーム構築事業（ワークスタイル変革モデル事業調査）,39424752,経済産業省,,4010401072162
2020-01-07T00:00:00+09:00,知的財産プロデューサー等派遣事業一式,1096784782,工業所有権情報・研修館,,4010405010498
2019-07-24T00:00:00+09:00,回転式多機能ペン及び個送材（箱）の購入,4000201,経済産業省,,4010502015219
2019-09-02T00:00:00+09:00,令和元年度産業技術調査事業（大学発ベンチャー実態等調査）,11220000,経済産業省,,4010701026082
2019-11-07T00:00:00+09:00,新たなＩＰ・ｅラーニングの提供事業　一式,64663940,工業所有権情報・研修館,,4013301007758
2018-11-14T00:00:00+09:00,平成３０年度中小企業等産業公害防止対策調査事業（メコン地域における公害防止管理者の人材育成及び制度導入可能性調査事業）,4752000,経済産業省,,4013301013616
2019-12-27T00:00:00+09:00,次世代浮体式洋上風力発電システム実証研究洋上風力発電等技術研究開発次世代浮体式洋上風力発電システム実証研究（基盤調査）,38952000,国立研究開発法人新エネルギー・産業技術総合開発機構,,4013305001526
2020-01-31T00:00:00+09:00,オフィスソフト等ライセンスの調達,4070000,経済産業省,,4040001006757
2019-04-01T00:00:00+09:00,平成３１年度レンタカー借上,19581048,経済産業省,,4040001013464
2019-04-01T00:00:00+09:00,平成３１年度洋書定期購読（Ａｃｃｏｕｎｔｉｎｇ　Ｔｏｄａｙ　外２２件）の購入,2237544,経済産業省,,5010401006994
2018-12-26T00:00:00+09:00,事務用椅子の購入,10571580,資源エネルギー庁,,5010401017488
2018-12-28T00:00:00+09:00,平成３０年度商取引・サービス環境の適正化に係る事業（認知症対策の社会実装に向けた普及啓発に関する調査）,7236000,経済産業省,,5010405001703
2018-10-30T00:00:00+09:00,平成３０年度天然ガスの高度利用に係る事業環境等の調査事業（熱量バンド制への移行による燃焼機器の影響等調査）,19608599,資源エネルギー庁,,5010405009408
2019-10-11T00:00:00+09:00,ＮＥＤＯ　Ｗｅｂサイトデザイン等の改修,14608000,国立研究開発法人新エネルギー・産業技術総合開発機構,,5011001069481
2019-12-19T00:00:00+09:00,ＮＥＤＯホームページの運用・保守業務,13671900,国立研究開発法人新エネルギー・産業技術総合開発機構,,5011001069481
2018-11-22T00:00:00+09:00,平成３０年度「日フィリピン経済連携協定第８回合同委員会及び小委員会」開催業務,3583168,経済産業省／外務省／財務省／農林水産省,,5013301022046
2018-12-03T00:00:00+09:00,平成３０年度二国間クレジット取得等のためのインフラ整備調査事業（ベトナム、インドネシアにおける低炭素技術・製品の普及可能性調査及び定量化等に関する普及支援事業）,18630000,経済産業省,,6010001030403
2018-12-19T00:00:00+09:00,平成３０年度工業標準化推進事業委託費（戦略的国際標準化加速事業：防災・減災対策を検討するためのフレームの標準化に向けた実現可能性調査）,9288000,経済産業省,,6010001030403
2018-10-11T00:00:00+09:00,平成３０年度電力市場環境調査（電力システム改革の進展を踏まえた電気事業に係る税制上の課題調査）,8748000,資源エネルギー庁,,6010001030403
2018-10-17T00:00:00+09:00,平成３０年度新エネルギー等の導入促進のための広報等事業（地域の再生可能エネルギー推進モデルの展開事業）,24840000,資源エネルギー庁,,6010001030403
2019-10-08T00:00:00+09:00,再生可能エネルギーの大量導入に向けた次世代電力ネットワーク安定化技術開発研究開発項目［１］－１　日本版コネクト＆マネージ実現に向けたフィージビリティスタディ,56898600,国立研究開発法人新エネルギー・産業技術総合開発機構,,6010001030403
2019-10-10T00:00:00+09:00,戦略的イノベーション創造プログラム（ＳＩＰ）第２期／自動運転（システムとサービスの拡張）高精度３次元地図における位置参照点（ＣＲＰ）のあり方に関する調査検討,19979300,国立研究開発法人新エネルギー・産業技術総合開発機構,,6010001030403
2019-11-27T00:00:00+09:00,Ｃｏｎｎｅｃｔｅｄ　Ｉｎｄｕｓｔｒｉｅｓ推進のための協調領域データ共有・ＡＩシステム開発促進事業Ｓｏｃｉｅｔｙ　５．０の実現に向けたアーキテクチャに関する検討,49999400,国立研究開発法人新エネルギー・産業技術総合開発機構,,6010001030403
2019-12-10T00:00:00+09:00,バイオジェット燃料生産技術開発事業技術動向調査バイオジェット燃料生産に係るバイオマス供給可能性に関する調査,19998000,国立研究開発法人新エネルギー・産業技術総合開発機構,,6010001030403
2020-01-17T00:00:00+09:00,令和元年度新エネルギー等の保安規制高度化事業委託調査（自家用電気工作物の点検におけるスマート保安の技術動向調査）,7700000,経済産業省,,6010001030403
2019-12-25T00:00:00+09:00,令和元年度新コンテンツ創造環境整備事業（Ｓｏｃｉｅｔｙ５．０におけるコンテンツの開発手法の応用に関する調査・分析及び検討事業）,19800000,経済産業省,,6010001030403
2019-11-21T00:00:00+09:00,令和元年度産業保安等技術基準策定研究開発等に関する調査事業（危機管理能力の強化に向けた調査）,49500000,経済産業省,,6010001030403
2019-11-25T00:00:00+09:00,令和元年度新エネルギー等の保安規制高度化事業（プラントＩＴ化促進に向けた調査）,15950000,経済産業省,,6010001030403
2019-09-03T00:00:00+09:00,回転上椅子の購入,14265612,経済産業省,,6010601022080
2019-11-20T00:00:00+09:00,２０１９年度戦略マネジメント系セミナー実施業務,6919000,情報処理推進機構,,6010701018441
2018-10-09T00:00:00+09:00,平成３０年度原子力の安全性向上を担う人材の育成事業（軽水炉過酷事故に対処できる人材育成基盤の構築事業）,13538445,資源エネルギー庁,,6050005002007
2019-10-30T00:00:00+09:00,エネルギー消費の効率化等に資する我が国技術の国際実証事業実証要件適合性等調査大規模電力貯蔵を実現するための圧縮空気地下貯蔵設備の実証研究（北米）,19940800,国立研究開発法人新エネルギー・産業技術総合開発機構,,6140001005714
